,Unnamed: 0,text,mod_text
609,609,"""Kami juga menawarkan beasiswa di tingkat SMA berasrama (boarding school) serta sekolah-sekolah militer lainnya unt… https://t.co/lZjetqHKxY","['kami', 'juga', 'tawar', 'beasiswa', 'di', 'tingkat', 'sma', 'asrama', 'boarding', 'school', 'serta', 'sekolahsekolah', 'militer', 'lain', 'unt']"
610,610,Menteri Pertahanan (Menhan) Prabowo Subianto mengaku telah menawarkan beasiswa kepada anak-anak Palestina untuk men… https://t.co/3yrI7HCp5P,"['menteri', 'tahan', 'menhan', 'prabowo', 'subianto', 'aku', 'telah', 'tawar', 'beasiswa', 'kepada', 'anakanak', 'palestina', 'untuk', 'men']"
611,611,IPO juga melakukan survei elektabilitas calon presiden (capres) untuk Pilpres 2024. Hasil survei tersebut menempatk… https://t.co/95mkZratVn,"['ipo', 'juga', 'laku', 'survei', 'elektabilitas', 'calon', 'presiden', 'capres', 'untuk', 'pilpres', 'hasil', 'survei', 'sebut', 'menempatk']"
612,612,IPO juga melakukan survei elektabilitas calon presiden (capres) untuk Pilpres 2024. Hasil survei tersebut menempatk… https://t.co/4xaNaDVbBM,"['ipo', 'juga', 'laku', 'survei', 'elektabilitas', 'calon', 'presiden', 'capres', 'untuk', 'pilpres', 'hasil', 'survei', 'sebut', 'menempatk']"
613,613,@_SEKNAS_RI @Budi_Dharma88 @Allyriva19 @kapten11 @EAbadi7 @SomarwaneSefnat @Nengnengpondasi @RealYany… https://t.co/Me0Q8eBKuL,"['seknasri', 'budidharma', 'allyriva', 'kapten', 'eabadi', 'somarwanesefnat', 'nengnengpondasi', 'realyany']"
614,614,"Berada di bawah pasangan Prabowo-Erick Thohir, yakni Anies Baswedan-Agus Harimurti Yudhoyono dengan 27,5 persen. Me… https://t.co/BzKziToICK","['ada', 'di', 'bawah', 'pasang', 'prabowoerick', 'thohir', 'yakni', 'anies', 'baswedanagus', 'harimurti', 'yudhoyono', 'dengan', 'persen', 'me']"
615,615,"Berada di bawah pasangan Prabowo-Erick Thohir, yakni Anies Baswedan-Agus Harimurti Yudhoyono dengan 27,5 persen. Me… https://t.co/EhQZbzBqfs","['ada', 'di', 'bawah', 'pasang', 'prabowoerick', 'thohir', 'yakni', 'anies', 'baswedanagus', 'harimurti', 'yudhoyono', 'dengan', 'persen', 'me']"
616,616,@Dahnilanzar @Gerindra Mantap Pak Prabowo..!!!,"['dahnilanzar', 'gerindra', 'mantap', 'pak', 'prabowo']"
617,617,"""Itu sebabnya mengapa Pak Prabowo memutuskan untuk bekerjasama dengan Presiden Jokowi. Karena beliau menyadari bahw… https://t.co/R80uDqNeuS","['itu', 'sebab', 'mengapa', 'pak', 'prabowo', 'putus', 'untuk', 'bekerjasama', 'dengan', 'presiden', 'jokowi', 'karena', 'beliau', 'sadar', 'bahw']"
618,618,Muzani mengatakan Prabowo hanya ingin melihat masyarakat Indonesia tersenyum menatap masa depan bila diberi kesempa… https://t.co/S9YfZJhb3U,"['muzani', 'kata', 'prabowo', 'hanya', 'ingin', 'lihat', 'masyarakat', 'indonesia', 'senyum', 'tatap', 'masa', 'depan', 'bila', 'beri', 'kesempa']"
619,619,"""Itu sebabnya mengapa Pak Prabowo memutuskan untuk bekerjasama dengan Presiden Jokowi. Karena beliau menyadari bahw… https://t.co/Qewl0XQOLP","['itu', 'sebab', 'mengapa', 'pak', 'prabowo', 'putus', 'untuk', 'bekerjasama', 'dengan', 'presiden', 'jokowi', 'karena', 'beliau', 'sadar', 'bahw']"
620,620,Pak Prabowo hanya ingin melihat masyarakat Indonesia tersenyum menatap masa depan bila diberi kesempatan untuk memi… https://t.co/CI1nIC8YH8,"['pak', 'prabowo', 'hanya', 'ingin', 'lihat', 'masyarakat', 'indonesia', 'senyum', 'tatap', 'masa', 'depan', 'bila', 'beri', 'sempat', 'untuk', 'mi']"
621,621,"""Kalau kemampuan itu kemudian ditingkatkan dalam kursi kepresidenan. Insya Allah bangsa Indonesia akan lebih baik k… https://t.co/rl55X6PLjm","['kalau', 'mampu', 'itu', 'kemudian', 'tingkat', 'dalam', 'kursi', 'presiden', 'insya', 'allah', 'bangsa', 'indonesia', 'akan', 'lebih', 'baik', 'k']"
